Nome,Marca,EAN,Preço sem desconto,Preço no pix,Valor do desconto,Porcentagem desconto,Preço com Desconto
"Drospirenona 3mg + Etinilestradiol 0,03mg 28 comprimidos Eurofarma Genérico",Não especificada,7891317020415,56.56,"R$ 44,99 ",10.18,18% ,46.38
Enantato De Noretisterona 50mg mL + Valerator De Estradiol 5mg mL Solução Injetável 1mL Eurofarma Genérico,Não especificada,7891317496388,28.36,"R$ 25,31 ",2.27,8% ,26.09
"Allestra 20mg 0,075mg + 0,020mg, Caixa Com 21 Comprimidos Revestidos",Aché,7896658036989,39.73,"R$ 31,60 ",7.15,18% ,32.58
Naldecon Multi 400mg + 20mg + 400mg 4 Comprimidos,Não especificada,7898962943045,11.48,"R$ 10,66 ",0.49,4% ,10.99
"Desogestrel 0,075Mg Germed 28 Comprimidos",Germed Pharma,7896004751771,23.62,"R$ 19,93 ",3.07,13% ,20.55
"Drospirenona + Etinilestradiol 3Mg + 0,03Mg Eurofarma 21 Comprimidos",Eurofarma,7891317021948,51.86,"R$ 33,71 ",17.11,33% ,34.75
"Drospirenona + Etinilestradiol 3Mg + 0,02Mg Nova Quimica 24 Comprimidos",Multilab,7895296352017,68.1,"R$ 31,05 ",36.09,53% ,32.00999999999999
"Levonorgestrel 0,15mg+ Etinilestradiol 0,03mg 21 comprimidos Biolab Genérico",Não especificada,7896112403166,8.0,"R$ 7,76 ",0.0,0% ,8.0
"Rivaroxabana 10Mg Uniao Quimica, Caixa Com 30 Comprimidos Revestidos",União Química,7896006221067,199.02,"R$ 42,47 ",155.24,78% ,43.78
"Contraceptivo Niki 3Mg+0,02Mg 24 Comprimidos",EMS Sigma Pharma,7894916510271,70.5,"R$ 64,97 ",3.52,5% ,66.98
Level Com 3 X 21 Comprimidos Revestidos,Biolab,7896112448358,88.18,"R$ 70,14 ",15.87,18% ,72.31
Primera 20mcg 21 Comprimidos,Eurofarma,7891317177645,43.37,"R$ 35,75 ",6.51,15% ,36.86
"Tâmisa 30 0,075mg + 0,030mg, caixa com 21 comprimidos revestidos",Eurofarma,7891317008703,35.0,35.0,6.3,18% ,28.7
"Tâmisa 30 0,075mg + 0,030mg, caixa com 84 comprimidos revestidos",Eurofarma,7891317443955,116.25,116.25,20.92,18% ,95.33
FERTNON 21CPR ZZ,Não especificada,EAN não informado,46.0,46.0,16.1,35% ,29.9
ALLESTRA 15MG 28CPR,Não especificada,EAN não informado,26.35,26.35,2.37,9% ,23.98
"Allestra 30 0,075mg + 0,030mg, caixa com 21 drágeas",Aché,7896658004902,36.01,36.01,8.64,24% ,27.369999999999997
"Rubia 0,075mg, caixa com 84 comprimidos revestidos",Aché,7896658034787,101.76,101.76,18.32,18% ,83.44
"Aixa 2mg + 0,03mg, caixa com 21 comprimidos revestidos",Medley,7896422531788,59.0,59.0,10.62,18% ,48.38
"Araceli 0,075mg, caixa contendo 28 comprimidos revestidos",Medley,7896422533898,40.0,40.0,6.0,15% ,34.0
"Evanor 0,25mg + 0,05mg, caixa com 21 comprimidos",Wyeth/Pfizer,7891045000987,11.0,11.0,1.98,18% ,9.02
"Minesse 0,06mcg + 0,015mg, caixa com 24 comprimidos revestidos",Wyeth/Pfizer,7891045008204,47.0,47.0,8.46,18% ,38.54
"Drospirenona + Etinilestradiol 3Mg + 0,02Mg Eurofarma 72 Comprimidos",Eurofarma,7891317021962,160.47,160.47,85.05,53% ,75.42
"Drospirenona + Etinilestradiol Ems 3Mg + 0,02Mg, Caixa Com 3 Cartelas Com 24 Comprimidos Revestidos",EMS,7896004759722,169.4,169.4,89.78,53% ,79.62
"Yasmin 3mg + 0,03mg, caixa com 21 comprimidos revestidos",Bayer,7891106906067,101.94,101.94,24.47,24% ,77.47
"Diad 0,75mg, caixa com 2 comprimidos",Cimed,7896523206868,18.3,18.3,11.7,64% ,6.600000000000001
"Minima 0,06Mg + 0,015Mg, Caixa Com 72 Comprimidos Revestidos + 12 Comprimidos Inertes",Medley,7896422507561,103.04,103.04,18.55,18% ,84.49000000000001
"Allestra 20 0,075mg + 0,020mg, caixa com 21 drágeas",Aché,7896658004896,36.01,36.01,8.64,24% ,27.369999999999997
Rivaroxabana 15mg 30 Comprimidos EMS Genérico,Eurofarma,7891317017668,230.59,230.59,179.86,78% ,50.72999999999999
"Desogestrel Melcon 0,075mg, caixa com 28 comprimidos revestidos",Melcon,7898574611264,23.07,23.07,4.15,18% ,18.92
"Acetato de Clormadinona + Etinilestradiol Althaia 2mg + 0,03mg, caixa com 21 comprimidos revestidos",Althaia,7898569762742,36.07,36.07,6.49,18% ,29.58
Yaz Bayer 24 comprimidos,Bayer,7891106914147,112.49,112.49,20.25,18% ,92.24
"Desogestrel + Etinilestradiol Eurofarma 0,150 + 0,030Mg, Caixa Com 21 Comprimidos",Eurofarma,7891317448943,30.62,"R$ 16,93 ",13.17,43% ,17.450000000000003
"Drospirenona + Etinilestradiol Ems 3Mg + 0,03Mg, Caixa Com 3 Blisters Com 21 Comprimidos",EMS,7896004755878,129.5,"R$ 71,61 ",55.68,43% ,73.82
"Nociclin 0,15 + 0,03Mg, Caixa Com 21 Comprimidos",EMS,7896004714196,12.36,"R$ 9,84 ",2.22,18% ,10.139999999999999
Ginesse 0075 + 0020mg caixa com 21 comprimidos revestidos,Farmoquímica,7898040320584,40.62,"R$ 32,31 ",7.31,18% ,33.309999999999995
Etinilestradiol 300mcg + Gestodeno 75mcg 21 Comprimidos Aché Biosintética Genérico,Não especificada,7896658038501,28.62,"R$ 24,15 ",3.72,13% ,24.900000000000002
"Neovlar Levonorgestrel 0,25mg + Etinilestradiol 0,05mg 63 comprimidos",Não especificada,7896006298014,24.19,"R$ 19,24 ",4.35,18% ,19.840000000000003
"Triquilar Levonorgestrel 0,05mg + Etinilestradiol 0,03mg 63 drágeas",Não especificada,7896006297352,33.3,"R$ 26,49 ",5.99,18% ,27.309999999999995
"Contraceptivo Dalyne Dalyne Mono 3 Mg + 0,03 Mg 21 Comprimidos",EMS Sigma Pharma,7894916508988,71.43,"R$ 65,82 ",3.57,5% ,67.86000000000001
Desogestrel 150mcg + Etinilestradiol 20mcg 63 Comprimidos,Biosintética - Aché,7898574611400,73.61,"R$ 26,42 ",46.37,63% ,27.240000000000002
"Microvlar 0,15Mg + 0,03Mg, Caixa Com 63 Drageas",União Química,7896006201632,29.12,"R$ 23,16 ",5.24,18% ,23.880000000000003
"Iziz 2,5mg + 1,5mg com 28 Comprimidos",Não especificada,7896094209510,132.56,"R$ 105,44 ",23.86,18% ,108.7
Slinda 4Mg Com 28 Comprimidos,Não especificada,7908134200453,123.03,"R$ 93,11 ",27.04,22% ,95.99000000000001
"Tamisa 30 0,075mg + 0,030mg, Caixa Com 21 Comprimidos Revestidos",Não especificada,7891317009717,38.32,"R$ 30,48 ",6.9,18% ,31.42
"Iumi ES 3mg + 0,02mg, caixa com 120 comprimidos revestidos",Libbs,7896094210295,228.0,228.0,54.72,24% ,173.28
Paracetamol 750 Mg 20 Comprimidos Neo,Não especificada,7896714214498,22.75,22.75,2.96,13% ,19.79
"Drospirenona + Etinilestradiol 3Mg + 0,02Mg Eurofarma 24 Comprimidos",Eurofarma,7891317021955,68.1,68.1,36.09,53% ,32.00999999999999
Rivaroxabana 20mg Cimed 30 Comprimidos Revestidos,Cimed,7896523201139,219.05,219.05,159.91,73% ,59.140000000000015
Rivaroxabana 20mg 30 Comprimidos EMS Genérico,Eurofarma,7891317017675,230.59,230.59,168.33,73% ,62.25999999999999
"Depomês 25mg/mL + 5mg/mL, caixa com 1 ampola com 1mL de suspensão de uso intramuscular",Biolab,7896241235461,38.02,38.02,3.42,9% ,34.6
"Desogestrel 0,075Mg Germed 84 Comprimidos",Germed Pharma,7896004751795,66.0,66.0,21.78,33% ,44.22
"Liberfem 2mg + 0,03mg, caixa com 21 comprimidos revestidos",Zodiac,7892953003381,47.48,47.48,0.0,0% ,47.48
"Diva 3mg + 0,03mg, caixa com 21 comprimidos revestidos",Exeltis,7898956544357,60.19,60.19,10.83,18% ,49.36
"Contraceptivo Dalyne Mono 3Mg + 0,03Mg 63 Comprimidos",EMS Sigma Pharma,7894916509831,182.56,182.56,9.13,5% ,173.43
"Rivaroxabana 15Mg Ems, Caixa Com 14 Comprimidos Revestidos",EMS,7896004767017,115.27,115.27,20.75,18% ,94.52
"Rivaroxabana 20Mg Ems, Caixa Com 14 Comprimidos Revestidos",EMS,7896004767055,115.27,115.27,43.8,38% ,71.47
