"id_cnpj","reg","dt_ini","dt_fin","vl_tot_debitos","vl_tot_debitos_sped","diff_total_debito","vl_aj_debitos","vl_tot_aj_debitos","vl_estornos_cred","total_ajuste_debitos","vl_tot_creditos","vl_tot_creditos_sped","diff_tot_creditos","vl_aj_creditos","vl_tot_aj_creditos","vl_estornos_deb","total_ajuste_creditos","vl_sld_credor_ant_sped","vl_sld_credor_ant","diff_sld_credor_ant","vl_tot_ded","deb_esp","vl_apurado_no_periodo","apuracao_icms","id_importation","dt_created","dt_updated","year","month","day","hour","minute","rown"
"09017661000609",E100,"01/12/2023","31/12/2023",329840.49000000034,"329840,49",-0.000000000349246,"305,06",0.0,0.0,305.06,278949.12000000034,"278949,12",-0.000000000349246,"189,5",51006.93,0.0,51196.43,"0",-0.00,278949.12,"0","0",-0.000000000007276,-0.000000000007276,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"35068230000177",E100,"01/09/2023","30/09/2023",0.0,"0,00",0.0,"0,00",0.0,0.0,0.0,7.37,"7,37",0.0,"0,00",0.0,0.0,0.0,"0,00",-7.37,14.74,"0,00","0,00",-7.37,-7.37,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661000870",E100,"01/10/2023","31/10/2023",25621.870000000003,"25621,87",-0.000000000003638,"0",0.0,0.0,0.0,31990.069999999996,"31990,07",0.000000000003638,"0",0.0,0.0,0.0,"6852,09",-13220.29,45210.36,"0","0",-6368.200000000001,-13220.29,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661001095",E100,"01/09/2023","30/09/2023",56214.860000000066,"56214,86",-0.0000000000654836,"0",0.0,0.0,0.0,29350.18000000002,"29350,18",-0.0000000000181899,"0",0.0,0.0,0.0,"23863,87","3000.81",26349.37,"0","0",26864.68,3000.8100000000013,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661000447",E100,"01/04/2023","30/04/2023",142850.36,"142850,36",0.0,"0",0.0,0.0,0.0,108949.32000000014,"108949,32",-0.0000000001309672,"0",33901.04,0.0,33901.04,"0",-0.00,108949.32000000004,"0","0",-0.0000000000218279,-0.0000000000218279,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661000366",E100,"01/12/2023","31/12/2023",54718.279999999984,"54718,28",0.0000000000145519,"0",0.0,0.0,0.0,31059.52000000002,"31059,52",-0.0000000000181899,"0",23658.76,0.0,23658.76,"0","0.00",31059.52,"0","0",0.0,0.0,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"35068230000410",E100,"01/11/2023","30/11/2023",0.0,"0",0.0,"0",0.0,0.0,0.0,0.0,"0",0.0,"0",0.0,0.0,0.0,"0","0.00",0.0,"0","0",0.0,0.0,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661000951",E100,"01/04/2023","30/04/2023",64278.61999999996,"64278,62",0.0000000000436557,"0,00",0.0,0.0,0.0,84082.8700000001,"84082,87",-0.0000000001018634,"0,00",0.0,0.0,0.0,"14974,92",-34779.17,118862.03999999998,"0,00","0,00",-19804.249999999993,-34779.16999999999,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"35068230000339",E100,"01/12/2023","31/12/2023",0.0,"0",0.0,"0",0.0,0.0,0.0,139.89,"139,89",0.0,"0",0.0,0.0,0.0,"2119,93",-2259.82,2399.7099999999996,"0","0",-139.89,-2259.8199999999997,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661000790",E100,"01/04/2023","30/04/2023",44461.61999999999,"44461,62",0.0000000000145519,"0,00",0.0,0.0,0.0,48953.42999999999,"48953,43",0.000000000007276,"0,00",0.0,0.0,0.0,"0,00",-4491.81,53445.24,"0,00","0,00",-4491.809999999998,-4491.809999999998,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
